Método,Métrica antes,Métrica depois
Cache/LFUCache.js,4,0
Cache/LFUCache.js,0.5,0
Cache/LFUCache.js,0.5,0
Cache/LFUCache.js,7.583,0
Cache/LFUCache.js,7.714,0
Cache/LFUCache.js,3.6,0
Cache/LFUCache.js,1.5,0
Cache/LFUCache.js,1.5,0
Cache/LFUCache.js,9.333,0
Cache/LFUCache.js,4.5,0
Cache/LFUCache.js,9,0
Cache/LFUCache.js,3.75,0
Cache/LFUCache.js,6,0
Cache/LFUCache.js,9,0
Cache/LFUCache.js,13.5,0
Cache/LFUCache.js,2.667,0
Cache/LFUCache.js,4.083,0
Cache/LFUCache.js,6.3,0
Cache/LRUCache.js,11.143,1.5
Cache/Memoize.js,6.3,7.2
Ciphers/VigenereCipher.js,3,0
Ciphers/VigenereCipher.js,21.452,23.543
Ciphers/VigenereCipher.js,18.214,20.326
Conversions/BinaryToHex.js,18,16.107
Conversions/DateDayDifference.js,19.318,20.455
Conversions/RailwayTimeConversion.js,20.211,21.474
Conversions/RgbHsvConversion.js,43.867,48.125
Conversions/RgbHsvConversion.js,2,0
Conversions/TitleCaseConversion.js,13.333,12.083
Conversions/test/TemperatureConversion.test.js,2.286,2.857
Data-Structures/Array/LocalMaximomPoint.js,30.75,32.8
Data-Structures/Array/NumberOfLocalMaximumPoints.js,26,28.6
Data-Structures/Linked-List/DoublyLinkedList.js,1.8,2.25
Data-Structures/Linked-List/SinglyLinkedList.js,1.5,2
Data-Structures/Stack/Stack.js,5,4.545
Data-Structures/Stack/Stack.js,2,0
Data-Structures/Tree/AVLTree.js,5.875,5.625
Data-Structures/Tree/AVLTree.js,4,0
Data-Structures/Tree/BinarySearchTree.js,5.2,4.8
Data-Structures/Tree/BinarySearchTree.js,1.8,4.8
Data-Structures/Tree/BinarySearchTree.js,4.857,4.286
Data-Structures/Tree/BinarySearchTree.js,1.5,0
Data-Structures/Tree/Trie.js,5.444,4.333
Dynamic-Programming/EditDistance.js,40.611,36.889
Dynamic-Programming/LevenshteinDistance.js,9.167,11
Dynamic-Programming/LevenshteinDistance.js,51.333,52.417
Dynamic-Programming/LongestPalindromicSubsequence.js,33.469,30
Dynamic-Programming/LongestPalindromicSubsequence.js,0,2
Dynamic-Programming/Shuf.js,2.8,0
Dynamic-Programming/Shuf.js,22.273,0
Dynamic-Programming/Shuf.js,1,0
Dynamic-Programming/Shuf.js,0.5,0
Dynamic-Programming/Shuf.js,13,0
Dynamic-Programming/Shuf.js,8,0
Dynamic-Programming/TrappingRainWater.js,29.75,27.111
Graphs/KruskalMST.js,2,1.875
Graphs/KruskalMST.js,2,1.875
Graphs/PrimMST.js,2.5,0
Graphs/PrimMST.js,5,0
Graphs/PrimMST.js,22.125,29.857
Graphs/PrimMST.js,22.5,25.5
Graphs/PrimMST.js,44.5,54.563
Graphs/PrimMST.js,2,2.5
Maths/AverageMedian.js,21.75,19.6
Maths/DecimalExpansion.js,41.684,43.579
Maths/Fibonacci.js,0,1.5
Maths/IsDivisible.js,8.75,9.625
Maths/MatrixMultiplication.js,9.9,9
Maths/Palindrome.js,8,9
Maths/PascalTriangle.js,20.429,6.125
Maths/PermutationAndCombination.js,8,9
Maths/Pow.js,29.9,32.2
Maths/PowLogarithmic.js,7.65,8.5
Maths/test/Area.test.js,2.667,2.571
Maths/test/Area.test.js,2.222,2.571
Maths/test/Area.test.js,2.5,2.571
Maths/test/Area.test.js,2.667,2.571
Maths/test/Area.test.js,3,2.571
Maths/test/AverageMedian.test.js,3.545,3.667
Maths/test/AverageMedian.test.js,3.273,3.667
Maths/test/AverageMedian.test.js,3.273,3.667
Maths/test/DegreeToRadian.test.js,2.813,2.8
Maths/test/DegreeToRadian.test.js,2.813,2.8
Maths/test/DegreeToRadian.test.js,2.286,2.8
Maths/test/FindMin.test.js,2.571,2.6
Maths/test/FindMinIterator.test.js,0.5,1.5
Maths/test/GetEuclidGCD.test.js,1.5,0
Maths/test/GetEuclidGCD.test.js,1,0
Maths/test/RadianToDegree.test.js,2.813,2.8
Maths/test/RadianToDegree.test.js,2.813,2.8
Maths/test/RadianToDegree.test.js,2.286,2.8
Maths/test/WhileLoopFactorial.test.js,1.5,0
Maths/test/WhileLoopFactorial.test.js,1,0
Maths/test/ZellersCongruenceAlgorithm.test.js,1.75,0
Maths/test/ZellersCongruenceAlgorithm.test.js,1,0
Project-Euler/Problem014.js,13.5,13.813
Project-Euler/Problem018.js,1.5,0
Project-Euler/Problem018.js,0.5,0
Project-Euler/Problem023.js,18.409,20
Project-Euler/Problem023.js,2.4,0
Project-Euler/Problem023.js,15,0
Recursive/BinarySearch.js,20,21.333
Recursive/EucledianGCD.js,5.25,4.375
Recursive/FloodFill.js,16.25,43.529
Recursive/FloodFill.js,9.9,41.143
Recursive/FloodFill.js,26.786,0
Recursive/FloodFill.js,29.375,0
Recursive/KochSnowflake.manual-test.js,15.167,0
Recursive/KochSnowflake.manual-test.js,9.318,0
Search/BinarySearch.js,21.75,23.2
Search/FibonacciSearch.js,41.792,44.25
Search/JumpSearch.js,28,29.75
Search/TernarySearch.js,36.364,38.636
Search/test/SlidingWindow.test.js,3.3,4.667
Search/test/TernarySearch.test.js,3.967,3.643
Search/test/TernarySearch.test.js,3.967,3.643
Search/test/TernarySearch.test.js,3.85,3.667
Sorts/BogoSort.js,13.333,0
Sorts/BogoSort.js,3.333,17.55
Sorts/HeapSortV2.js,21,0
Sorts/HeapSortV2.js,4,0
Sorts/HeapSortV2.js,16.909,144.577
Sorts/OddEvenSort.js,3.75,0
Sorts/OddEvenSort.js,34.5,45
Sorts/TimSort.js,11.2,10.4
Sorts/TopologicalSort.js,3.5,17
Sorts/TopologicalSort.js,7.944,0
Sorts/TopologicalSort.js,3.75,0
Sorts/TopologicalSort.js,1,0
Sorts/TopologicalSort.js,13,0
Sorts/test/BubbleSort.test.js,6.769,8.429
String/CheckAnagram.js,10.4,11.2
String/MaxWord.js,10,8.75
String/test/HammingDistance.test.js,1,1.2
String/test/HammingDistance.test.js,1,1.2
String/test/ValidateCreditCard.test.js,0.5,3
String/test/ValidateCreditCard.test.js,0.5,3
String/test/ValidateCreditCard.test.js,0.5,3
String/test/ValidateCreditCard.test.js,0.5,3
Trees/BreadthFirstTreeTraversal.js,2,2.25